CheckedEST,Link,Date,C_Alcona,C_Alger,C_Allegan,C_Alpena,C_Antrim,C_Arenac,C_Baraga,C_Barry,C_Bay,C_Benzie,C_Berrien,C_Branch,C_Calhoun,C_Cass,C_Charlevoix,C_Cheboygan,C_Chippewa,C_Clare,C_Clinton,C_Crawford,C_Delta,C_Dickinson,C_Eaton,C_Emmet,C_Genesee,C_Gladwin,C_Gogebic,C_GrandTraverse,C_Gratiot,C_Hillsdale,C_Houghton,C_Huron,C_Ingham,C_Ionia,C_Iosco,C_Iron,C_Isabella,C_Jackson,C_Kalamazoo,C_Kalkaska,C_Kent,C_Keweenaw,C_Lake,C_Lapeer,C_Leelanau,C_Lenawee,C_Livingston,C_Luce,C_Mackinac,C_Macomb,C_Manistee,C_Marquette,C_Mason,C_Mecosta,C_Menominee,C_Midland,C_Missaukee,C_Monroe,C_Montcalm,C_Montmorency,C_Muskegon,C_Newaygo,C_Oakland,C_Oceana,C_Ogemaw,C_Ontonagon,C_Osceola,C_Oscoda,C_Otsego,C_Ottawa,C_PresqueIsle,C_Roscommon,C_Saginaw,C_Sanilac,C_Schoolcraft,C_Shiawassee,C_StClair,C_StJoseph,C_Tuscola,C_VanBuren,C_Washtenaw,C_Wayne,C_Wexford,C_MDOC,C_FCI,C_OutState,C_NR,C_TOTAL,C_Detroit,C_Probable,C_Notes,C_Male,C_Female,C_SexNR,C_0_9,C_10_19,C_0_19,C_20_29,C_30_39,C_40_49,C_50_59,C_60_69,C_70_79,C_80_plus,C_AgeNR,C_Native,C_Asian,C_Black,C_White,C_Many,C_Other,C_RaceNR,C_Hispanic,C_NonHispanic,C_HispanicNR,C_Arab,C_NonArab,C_ArabNR
,,2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,1,,,,2,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-03-13,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,1,,,,6,,,,,,,,,,,,,,1,,,,3,7,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-03-14,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,2,,,,,,,,1,1,,,,9,,,,,,,,,,,,,,1,,,,4,9,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-03-15,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,5,,,,,,,,1,1,,,,14,,,,,,,1,,,,,,,2,,,,7,14,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17 14:08,"https://web.archive.org/web/20200317180942/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html#",2020-03-16,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,5,,,,1,,,,,8,,,,,,,,1,1,,,,16,,,,,,1,1,,,,,,,2,,,,7,17,,,,,,65,8,,"Daily web update at 2 p.m 
The afternoon web update will include all information reported through midnight the previous day 
(From new case reporting https://web.archive.org/web/20200317184812/https://www.michigan.gov/mdhhs/0,5885,7-339-73970_71692-521887--,00.html)",58%,42%,,,,3%,12%,14%,17%,14%,28%,9%,3%,,,,,,,,,,,,,,
2020-03-18 17:14,"https://web.archive.org/web/20200318190743/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-17,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,5,,,,1,,,,,10,,,,,,,,1,1,,,,23,,,,,,1,1,,,,,,,2,,,,7,23,,,,,,80,13,,"This information is updated daily at 2 p.m., with yesterday’s COVID-19 positive results included as of midnight.",55%,45%,,,,3%,10%,16%,18%,14%,29%,8%,4%,,,,,,,,,,,,,,
2020-03-19 15:20,"https://web.archive.org/web/20200319192002/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-18,,,,,,,,,1,,,,,,1,,,,1,,,,2,,1,,,,,,,,6,,,,1,1,,,7,,,,1,,1,,,55,,,,,,1,,2,1,,,,105,,,,,,1,1,,,,,,,4,,,,14,119,,,,,10,336,75,,"This information is updated daily at 2 p.m., with yesterday’s COVID-19 results included as of midnight.",51%,47%,2%,,,1%,10%,18%,19%,19%,18%,8%,5%,2%,,,,,,,,,,,,,
2020-03-20 14:24,"https://web.archive.org/web/20200320182438/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-19,,,,,,,,,1,,,,,,1,,,,1,,,,2,,1,,,,,,,,7,,,,,1,,,12,,,,1,,3,,,86,,,,,,3,,3,1,,,,184,,,,,,1,1,,,,,,,7,,,,16,216,,,,1,,549,149,,"This information is updated daily at 2 p.m., with yesterday’s COVID-19 results included as of 10 a.m.",51%,49%,,,,1%,8%,16%,21%,20%,19%,11%,5%,,,,,,,,,,,,,,
2020-03-21 17:12,"https://web.archive.org/web/20200322164958/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-21,,,,,,,,1,1,,2,,1,,1,,,1,2,,,,2,,7,,,,,,,,11,,,,,1,,,21,,,,1,,6,,,101,,,,,,3,,3,1,,,,229,,,,,,1,2,,,1,,,,7,,1,,29,349,1,,,1,,787,248,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases continue, there will be corrections to the status and details of referred cases that result in changes to this report.",51%,49%,,,,2%,9%,15%,20%,20%,19%,10%,6%,,,,,,,,,,,,,,
