CheckedEST,Link,Date,D_Alcona,D_Alger,D_Allegan,D_Alpena,D_Antrim,D_Arenac,D_Baraga,D_Barry,D_Bay,D_Benzie,D_Berrien,D_Branch,D_Calhoun,D_Cass,D_Charlevoix,D_Cheboygan,D_Chippewa,D_Clare,D_Clinton,D_Crawford,D_Delta,D_Dickinson,D_Eaton,D_Emmet,D_Genesee,D_Gladwin,D_Gogebic,D_GrandTraverse,D_Gratiot,D_Hillsdale,D_Houghton,D_Huron,D_Ingham,D_Ionia,D_Iosco,D_Iron,D_Isabella,D_Jackson,D_Kalamazoo,D_Kalkaska,D_Kent,D_Keweenaw,D_Lake,D_Lapeer,D_Leelanau,D_Lenawee,D_Livingston,D_Luce,D_Mackinac,D_Macomb,D_Manistee,D_Marquette,D_Mason,D_Mecosta,D_Menominee,D_Midland,D_Missaukee,D_Monroe,D_Montcalm,D_Montmorency,D_Muskegon,D_Newaygo,D_Oakland,D_Oceana,D_Ogemaw,D_Ontonagon,D_Osceola,D_Oscoda,D_Otsego,D_Ottawa,D_PresqueIsle,D_Roscommon,D_Sagniaw,D_Sanilac,D_Schoolcraft,D_Shiawassee,D_StClair,D_StJoseph,D_Tuscola,D_VanBuren,D_Washtenaw,D_Wayne,D_Wexford,D_MDOC,D_FCI,D_OutState,D_NR,D_TOTAL,D_Detroit,D_Probable,D_Notes,D_Male,D_Female,D_SexNR,D_0_9,D_10_19,D_0_19,D_20_29,D_30_39,D_40_49,D_50_59,D_60_69,D_70_79,D_80_plus,D_AgeNR,D_AgeMin,D_AgeMax,D_AgeAvg,D_AgeMed,D_Native,D_Asian,D_Black,D_White,D_Many,D_Other,D_RaceNR,D_Hispanic,D_NonHispanic,D_HispanicNR,D_Arab,D_NonArab,D_ArabNR
2020-03-19 15:20,"https://web.archive.org/web/20200319192002/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20 14:24,"https://web.archive.org/web/20200320182438/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"This information is updated daily at 2 p.m., with yesterday’s COVID-19 results included as of 10 a.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 17:12,"https://web.archive.org/web/20200322164958/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,3,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 16:45,"https://web.archive.org/web/20200322204557/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,8,4,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23 14:37,"https://web.archive.org/web/20200323183703/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,8,,,,,,15,6,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24 15:45,"https://web.archive.org/web/20200324194602/https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3,13,,,,,,24,8,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25 14:05,"https://web.archive.org/web/20200325180550/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,7,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,3,21,,,,,,43,12,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m. 
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26 14:34,"https://web.archive.org/web/20200326183414/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html",2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,11,,,,1,,,,,,,,,15,,,,,,,,,,,,,,,,1,,3,26,,,,,,60,15,,"This information is updated daily at 2 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",60%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27 15:25,"https://web.archive.org/web/20200327192250/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,1,,,,,,,,1,,,,,,1,,,14,,,,1,,,,,,,2,,26,,,,,,,,,,,,,,,,1,,3,37,,,,,,92,23,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",65%,34%,1%,,,,,,,,,,,,36,92,68.4,70,,,,,,,,,,,,,
2020-03-28 15:35,"https://web.archive.org/web/20200328193514/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html",2020-03-28,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,1,,,,,,2,,,17,,,,1,,,1,,,,2,,31,,,,,,,,,,,,,,,,1,,3,46,,,,,,111,30,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m.
Note on the deaths: Deaths must be reported by health care providers, medical examiners/coroners, and recorded by local health departments in order to be counted.",68%,31%,1%,,,,,,,,,,,,36,97,68.1,70,,,,,,,,,,,,,
